description,title,id,created_time,views
Our live Family Festive fun event is on Monday 21 Dec at 11am.  Festive sto,,140950324238787,2020-12-14T07:30:31+0000,75
The magicial story of a brave little mouse who sets out on a Christmas adve,,1286427961719338,2020-12-13T14:02:10+0000,11
Today Barnet libraries recommend ‘Clap When you Land’ by Elizabeth Acavedo.,,430021821715072,2020-12-13T12:25:08+0000,45
Our last Baby Bounce Online session this year will have a wintery theme!  1,,797921604100083,2020-12-12T16:30:36+0000,17
The magicial story of a brave little mouse who sets out on a Christmas adve,,219982639640033,2020-12-12T12:30:33+0000,8
Today Barnet libraries recommend ‘Becoming’ by Michelle Obama. A vivid and ,,406065420517911,2020-12-12T12:25:15+0000,48
Cracking Christmas Stories from the team at Chipping Barnet Library. Availa,,433854557780440,2020-12-12T10:01:10+0000,17
Join us for our FREE winter themed Toddler Rhyme Online session on Monday. ,,2739607799614627,2020-12-11T15:02:52+0000,18
The magicial story of a brave little mouse who sets out on a Christmas adve,,792315578012696,2020-12-11T14:03:10+0000,5
"If you could live your life differently, would you? If a library of lives o",,389371132288093,2020-12-11T12:25:34+0000,40
These little guys are really excited about our winter themed Toddler sessio,,202344128150106,2020-12-10T10:30:38+0000,18
The magicial story of a brave little mouse who sets out on a Christmas adve,,173761954488122,2020-12-09T15:30:57+0000,11
We've expanded access to pre-booked computers to all #BarnetLibraries. Find,,382638162827102,2020-12-09T13:30:53+0000,15
Today Barnet libraries recommend Oranges and Lemons’ by Christopher Fowler.,,144109960495238,2020-12-09T12:25:06+0000,30
Today Barnet libraries recommend is from the one of our young followers. ‘R,,237075747840485,2020-12-08T12:25:10+0000,65
"Coming on 10/2/2021 #barnetlibraries welcomes Agnete, Dorthe, Eva, Heidi, L",,666716787337023,2020-12-08T10:30:53+0000,659
Booking is now open for our special Toddler Rhyme Online on Monday 7 Dec. T,,191839415926000,2020-12-07T19:55:50+0000,132
Journalist Tom Langdon must get from Washington to LA in time for Christmas,,1139458683178611,2020-12-07T18:25:32+0000,23
We have lots of festive online activities for children and families this De,,383523119386529,2020-12-07T17:25:44+0000,45
Today Barnet libraries recommend 'The Lying Room' by Nicci French #BarnetLi,,406301334115924,2020-12-07T12:25:45+0000,49
Today Barnet libraries recommend 'Escape from Mr Lemonchelo's Library' by C,,1282103002166931,2020-12-05T12:25:46+0000,45
The magicial story of a brave little mouse who sets out on a Christmas adve,,468968617435222,2020-12-04T14:02:38+0000,8
Today's title in our 'Barnet libraries recommends' series is Sunday Times b,,185215703314433,2020-12-04T12:27:40+0000,45
Join us for a FREE Toddler Rhyme Online session on Mon 7 Dec at 10.15. Book,,298701041442631,2020-12-03T14:02:36+0000,26
"Throughout December, we will be posting videos for recommended reads from o",,239457990843920,2020-12-03T12:25:52+0000,52
"Throughout December, we will be posting videos for recommended reads from o",,702412860652751,2020-12-02T12:25:43+0000,67
Throughout December we will be posting recommended reads from our library s,,1655822807911715,2020-12-01T12:25:31+0000,72
From tomorrow you can listen to this magicial story of a brave little mouse,,422561548918148,2020-11-30T13:26:09+0000,29
"What's been going on in our libraries during lockdown? 
Well... the charact",,203889751258067,2020-11-27T15:37:07+0000,154
"We are now running FREE live Toddler sessions online! 
Join us for interact",,821523555327918,2020-11-25T14:03:06+0000,17
"Join us for Toddler Rhyme Online this Monday 23 Nov at 10.15am. 
Book your ",,196164742064159,2020-11-20T18:30:52+0000,28
Have you considered our online collection of library books yet? There are 1,,134627948080842,2020-11-20T13:15:24+0000,12
Libraries aren't just about books & reading. Finger Rhymes for little ones ,,1056725034845239,2020-11-18T15:25:42+0000,48
"Diwali Delights 
Celebrate The Festival of Lights and embellish old or blan",,1464435047095635,2020-11-11T15:03:07+0000,200
We are currently running a programme of online activities until such time a,,365821288055465,2020-11-10T18:58:16+0000,117
"It may be lockdown again, but our FREE Toddler Rhyme Online sessions are st",,679019992799050,2020-11-05T14:26:09+0000,88
"A powerful, passionate and sinister tale of a young woman's courage, friend",,859490471477617,2020-11-05T12:10:30+0000,6
Costa Award-winning author Frances Hardinge weaves another darkly extraordi,,821904108564552,2020-11-04T19:57:44+0000,10
"A powerful, passionate and sinister tale of a young woman's courage, friend",,3426559130746981,2020-11-03T20:55:37+0000,25
Finger Rhymes with toddlers are great for motor skill development. We are n,,818968062202006,2020-11-02T19:41:46+0000,73
"If your child needs some help with their homework, you can email librarieso",,846150262796802,2020-11-02T16:02:53+0000,26
Booking is now open for our FREE  Toddler Rhyme Online session next Monday ,,672886440036063,2020-11-02T11:05:47+0000,49
"Join Becca for a firework craft activity. 
Click the link to subscribe to o",,720333702170265,2020-11-01T08:07:24+0000,420
"Here's a taste of our FREE early years sessions. 
Click the link to book no",,422641992473651,2020-11-01T07:15:53+0000,217
"A powerful, passionate and sinister tale of a young woman's courage, friend",,364391671444747,2020-10-31T18:01:10+0000,13
Costa Award-winning author Frances Hardinge weaves another darkly extraordi,,291858731910636,2020-10-31T17:26:16+0000,17
"A powerful, passionate and sinister tale of a young woman's courage, friend",,2386249441682751,2020-10-30T18:01:11+0000,33
"Here's a taste of our FREE early years sessions. 
Click the link to book no",,3504339982979612,2020-10-30T15:15:45+0000,56
There's still time to learn how to make these very simple ghost lanterns fo,,636480067236171,2020-10-30T12:28:39+0000,75
Costa Award-winning author Frances Hardinge weaves another darkly extraordi,,404197220605369,2020-10-29T19:02:20+0000,16
Join Becca to learn how to make these very simple ghost lanterns for Hallow,Ghost Lanterns.MOV,3453134154771937,2020-10-26T08:00:53+0000,745
We are excited to tell you about our adults & children and families newslet,,1233128430360455,2020-10-13T17:30:32+0000,37
"Last week we launched our newest reading challenge, Book Bingo. Read a sele",,815161785922600,2020-10-12T13:01:58+0000,25
We're so excited to tell you about our regular adult newsletter direct to y,,727437174477901,2020-10-09T15:30:44+0000,24
Get #BarnetLibraries adult newsletter delivered to your inbox. Register at ,,2771278733195529,2020-10-05T10:01:13+0000,9
Learner drivers. You can do it! Practise the Highway Code and DVSA revision,,1012291695900118,2020-09-25T11:44:31+0000,34
Good morning! We are very pleased to tell you that you will be able to use ,,328558855062132,2020-09-21T07:30:12+0000,155
